CustomerID,CustomerName,Gender,Age,City,Education_Level,Marital_Status,Dependent_Count,Income_Category,Card_Category,Months_on_Book,Credit_Limit_INR,Total_Revolving_Bal,Avg_Open_To_Buy,Avg_Utilization_Ratio,Months_Inactive_12mon,Contacts_Count_12mon,Total_Trans_Amt_INR,Total_Trans_Ct,Total_Ct_Chng_Q4_Q1,Total_Amt_Chng_Q4_Q1,Attrition_Flag
SBICC100000,Arun Joshi,M,31,Delhi,High School,Married,2,< ₹3 Lakh,Gold,43,361873,212171,126900,0.6296,1,2,147919,58,0.7187,0.9153,1
SBICC100001,Priya Reddy,F,61,Delhi,Post-Graduate,Single,2,₹3-6 Lakh,Gold,10,222300,15205,178300,0.1818,1,0,66743,63,0.2772,0.1699,0
SBICC100002,Sanjay Iyer,M,34,Bangalore,High School,Single,2,₹6-10 Lakh,Gold,56,284584,40567,247300,0.0,3,0,59636,71,0.583,0.5825,0
SBICC100003,Kavya Joshi,F,28,Kolkata,Post-Graduate,Married,3,₹10-15 Lakh,Silver,45,94238,15428,83200,0.0193,3,2,122846,73,0.2705,0.7009,0
SBICC100004,Sunita Nair,F,42,Bangalore,High School,Single,3,₹6-10 Lakh,Gold,56,368870,169434,224400,0.256,1,0,11394,68,0.6027,0.7178,0
SBICC100005,Manoj Nair,M,59,Bangalore,Graduate,Married,1,₹6-10 Lakh,Silver,44,107513,8011,94000,0.3022,0,1,69388,58,0.8277,0.8633,0
SBICC100006,Rajesh Singh,M,49,Hyderabad,Doctorate,Single,2,₹6-10 Lakh,Gold,53,275568,98599,158900,0.5139,4,1,126057,52,0.7061,0.7246,0
SBICC100007,Rahul Joshi,M,29,Delhi,Graduate,Married,3,₹10-15 Lakh,Gold,27,454414,144588,315200,0.546,2,0,74685,59,0.6863,0.7238,0
SBICC100008,Rahul Reddy,M,31,Chennai,Graduate,Single,2,₹10-15 Lakh,Gold,34,223861,86740,159000,0.4274,4,2,31853,60,0.3188,0.8234,1
SBICC100009,Amit Iyer,M,42,Pune,Post-Graduate,Married,1,₹15-25 Lakh,Platinum,39,724999,367075,381700,0.6175,3,3,7812,56,0.1486,0.305,1
SBICC100010,Swati Reddy,F,52,Hyderabad,Post-Graduate,Married,2,₹10-15 Lakh,Signature,41,3128086,397151,2482200,0.0247,6,1,26552,54,0.6719,0.5818,0
SBICC100011,Meera Iyer,F,47,Delhi,Post-Graduate,Single,2,< ₹3 Lakh,Silver,23,100050,19539,86600,0.3724,1,1,91731,67,0.844,1.2351,0
SBICC100012,Sanjay Gupta,M,46,Mumbai,Graduate,Married,2,< ₹3 Lakh,Platinum,56,887720,149975,788800,0.0606,2,1,7578,68,0.9014,1.5772,0
SBICC100013,Rahul Mehta,M,30,Ahmedabad,Graduate,Married,1,₹6-10 Lakh,Signature,53,1827974,947323,640800,0.5585,1,2,59986,88,0.0,0.8866,0
SBICC100014,Suresh Mehta,M,51,Delhi,Graduate,Single,1,₹15-25 Lakh,Silver,43,142455,50389,96200,0.3384,3,0,27231,71,0.6782,1.5186,0
SBICC100015,Kavya Mehta,F,32,Chennai,Graduate,Single,2,₹10-15 Lakh,Signature,32,2856310,1256652,1606700,0.3871,2,1,25554,77,0.8257,0.6646,0
SBICC100016,Vijay Singh,M,40,Kolkata,Graduate,Single,2,₹3-6 Lakh,Silver,29,134385,21532,134100,0.2178,3,5,81372,53,0.5729,0.084,1
SBICC100017,Suresh Patel,M,35,Delhi,High School,Single,1,₹10-15 Lakh,Silver,13,123003,19169,107700,0.1435,2,1,6835,67,0.8724,0.937,0
SBICC100018,Divya Patel,F,34,Kolkata,Graduate,Single,1,₹15-25 Lakh,Signature,45,2298613,391085,1801800,0.1902,3,3,50952,57,1.2202,0.4965,1
SBICC100019,Amit Iyer,M,33,Hyderabad,Graduate,Divorced,2,₹6-10 Lakh,Gold,54,164485,22810,151000,0.1038,2,1,30820,64,0.4145,0.464,0
SBICC100020,Anjali Singh,F,46,Mumbai,Post-Graduate,Married,1,₹10-15 Lakh,Gold,19,432836,200138,251600,0.5795,3,2,57916,83,1.1773,0.6041,0
SBICC100021,Anjali Gupta,F,27,Hyderabad,High School,Single,2,< ₹3 Lakh,Gold,42,426255,23395,385400,0.0041,1,2,107185,64,1.079,0.9105,0
SBICC100022,Amit Nair,M,23,Bangalore,Post-Graduate,Married,2,₹3-6 Lakh,Silver,56,148715,37787,99900,0.278,3,0,10599,55,1.0197,0.8911,0
SBICC100023,Deepak Sharma,M,49,Pune,Post-Graduate,Married,0,₹10-15 Lakh,Gold,53,392924,68242,271700,0.2492,0,1,48990,71,0.8908,0.8979,0
SBICC100024,Kavya Mehta,F,34,Chennai,Post-Graduate,Married,2,₹15-25 Lakh,Silver,19,135309,32311,118100,0.0741,1,3,7966,67,0.8152,0.7391,0
SBICC100025,Rahul Mehta,M,27,Chennai,High School,Single,2,< ₹3 Lakh,Platinum,17,834883,195167,575700,0.2098,0,3,12921,59,0.3932,0.6972,0
SBICC100026,Amit Singh,M,24,Mumbai,High School,Married,3,₹3-6 Lakh,Platinum,23,399599,287114,98400,0.8122,2,0,13179,62,0.5099,0.7181,0
SBICC100027,Divya Gupta,F,23,Delhi,Post-Graduate,Married,3,₹15-25 Lakh,Silver,56,112042,10695,105800,0.2056,2,5,44985,57,0.9947,0.5371,0
